0	1841.37
1	3743.44
2	1845.57
3	3566.56
4	1835.29
5	3720.90
6	1832.79
7	3547.26
8	1824.17
9	3699.05
10	1822.94
11	3539.50
12	1818.02
13	3686.10
14	1813.76
15	3527.89
16	1810.25
17	3675.87
18	1804.06
19	3512.02
20	1802.92
21	3664.38
22	1799.82
23	3498.38
24	1799.14
25	3644.61
26	1792.76
27	3476.60
28	1796.14
29	3628.66
30	1787.98
31	3463.85
32	1785.37
33	3613.96
34	1778.90
35	3456.38
36	1780.84
37	3606.77
38	1774.89
39	3439.38
40	1772.09
41	3589.59
42	1767.79
43	3431.38
44	1761.90
45	3577.54
46	1758.50
47	3413.69
48	1753.91
49	3553.64
50	1747.99
51	3392.80
52	1749.27
53	3543.50
54	1745.01
55	3379.33
56	1741.84
57	3530.07
58	1739.01
59	3370.99
60	1738.92
61	3519.14
62	1737.91
63	3357.65
64	1725.21
