0	692.49
1	196720.17
2	196301.41
3	196298.19
4	684.99
5	198313.12
6	198594.82
7	199171.66
8	695.48
9	195381.02
10	195258.47
11	195260.60
12	682.85
13	194899.28
14	194745.24
15	194731.87
16	689.78
17	193668.52
18	193712.01
19	193708.93
20	670.54
21	193740.72
22	191088.28
23	190939.94
24	683.62
25	191948.77
26	191910.87
27	193149.42
28	671.75
29	192509.00
30	192144.09
31	192140.29
32	680.23
33	192052.94
34	190797.36
35	190600.37
36	661.00
37	190598.98
38	192034.00
39	191158.51
40	679.25
41	189087.86
42	189058.07
43	189054.59
44	651.92
45	190512.36
46	189389.58
47	189402.17
48	672.76
49	187038.09
50	188486.51
51	188916.67
52	653.98
53	188955.26
54	188944.68
55	188942.71
56	661.79
57	187422.32
58	190060.80
59	187030.47
60	649.59
61	186908.30
62	186910.44
63	186899.22
64	658.31
