0	3703.65
1	3705.87
2	3704.02
3	3689.34
4	3683.42
5	3677.10
6	3677.96
7	3669.32
8	3669.42
9	3664.57
10	3665.31
11	3659.14
12	3656.11
13	3652.08
14	3652.67
15	3648.08
16	3639.20
17	3634.41
18	3633.63
19	3629.40
20	3629.26
21	3622.91
22	3623.06
23	3615.90
24	3613.90
25	3609.79
26	3605.67
27	3601.43
28	3599.81
29	3592.92
30	3587.08
31	3588.49
32	3584.22
33	3577.68
34	3575.93
35	3571.38
36	3577.07
37	3567.38
38	3559.99
39	3558.23
40	3558.23
41	3548.55
42	3548.37
43	3543.58
44	3544.09
45	3537.72
46	3533.71
47	3534.79
48	3527.57
49	3526.36
50	3518.45
51	3516.41
52	3510.79
53	3509.58
54	3502.34
55	3499.09
56	3496.19
57	3493.41
58	3493.40
59	3486.53
60	3486.97
61	3480.34
62	3474.83
63	3473.03
64	3467.84
