0	927.22
1	2356.70
2	2385.26
3	2435.71
4	929.38
5	2389.70
6	2328.00
7	2322.60
8	923.85
9	2319.04
10	2410.81
11	2433.51
12	918.89
13	2436.22
14	2306.47
15	2302.61
16	914.99
17	2345.43
18	2390.83
19	2412.71
20	909.94
21	2324.57
22	2344.87
23	2284.69
24	913.66
25	2277.95
26	2374.77
27	2376.41
28	909.36
29	2330.50
30	2277.08
31	2266.82
32	908.78
33	2377.98
34	2283.91
35	2380.13
36	908.05
37	2376.07
38	2253.07
39	2246.69
40	901.96
41	2337.07
42	2231.74
43	2354.36
44	892.60
45	2359.83
46	2288.93
47	2230.73
48	891.15
49	2227.71
50	2320.60
51	2319.79
52	888.81
53	2276.44
54	2215.58
55	2216.02
56	883.86
57	2209.01
58	2299.17
59	2317.99
60	879.95
61	2322.75
62	2199.67
63	2190.64
64	877.51
